agency,oricodes
midway_ga,GA08902
millard_county_ut,UT01400
mille_lacs_county_mn,MN04800
miltona_mn,
milwaukee_wi,WIMPD00
minneapolis_mn,MN02711
minnetonka_mn,MN02712
mn_bca,MNBCA00
mn_state_patrol,MNMHP00
monroe_county_ga,GA10200
monroe_ga,GA14701
morrison_county_mn,MN04900
moultrie_ga,GA03501
mounds_view_mn,MN06205
murray_county_ga,GA10500
nashville_metro_tn,TN01901
new_brighton_mn,MN06206
new_hope_mn,MN02714
new_orleans_la,LANPD00
new_york_city,NY03030
newark_nj,NJNPD00
newton_county_ga,GA10700
nicollet_county_mn,MN05200
norfolk_va,VA11700
north_las_vegas,NV00202
north_mankato_mn,MN05201
north_park_ut,UT00310
norwich_ct,CT00104
oakland_ca,CA00109
odessa_tx,TX06802
ogden_ut,UT02901
oklahoma_city_ok,OK05506
olivia_mn,MN06503
olmsted_county_mn,MN05500
omaha_ne,NB02802
orange_county,
orem_ut,UT02503
orlando_fl,FL04804
orono_mn,MN02715
otter_tail_county_mn,MN05600
owatonna_mn,MN07401
palm_beach_county_fl,FL05000
pasadena_tx,TX10115
paulding_county_ga,GA11000
payson_ut,UT02504
peachtree_city_ga,GA05602
pearland_tx,TX02010
pelham_ga,GA10103
philadelphia_pa,PAPEP00
phoenix_az,AZ00723
pickens_county_ga,GA11200
pike_county_ga,GA11400
pine_county_mn,MN05800
pine_lake_ga,GA04408
pittsburgh_pa,PAPPD00
plano_tx,TX04306
pleasant_view_ut,UT02911
plymouth_mn,MN02717
polk_county_mn,MN06000
polk_county_police_ga,GA11503
polk_county_sheriff_ga,GA11500
pooler_ga,GA02504
port_wentworth_ga,GA02505
portland_me,ME00305
portland_or,OR02602
provo_ut,UT02506
putnam_county_ga,GA11700
raleigh_nc,NC09201
ramsey_county_mn,MN06200
ramsey_pd_mn,MN00213
red_lake_mn,MN06300
reno_nv,NV01601
ria_mn,
richardson_tx,TX05720
richfield_mn,MN02718
richmond_county_ga,GA12102
riverdale_ga,GA03105
riverside_ca,CA03313
riverside_county_ca,CA03300
robbinsdale_mn,MN02719
rochester_mn,MN05501
rockdale_county_ga,GA12200
roosevelt_ut,UT00702
rosemount_mn,MN01905
roseville_mn,MN06208
roswell_ga,GA06005
round_rock_tx,TX24605
roy_ut,UT02902
sacramento_ca,CA03404
sacramento_county_ca,CA03400
salina_ut,UT02107
salt_lake_city_ut,UT01803
san_antonio_tx,TXSPD00
san_diego_ca,CA03711
san_diego_county_ca,CA03700
san_francisco_ca,CA03801
san_jose_ca,CA04313
sandy_springs_ga,GA06056
sandy_ut,UT01805
santa_ana_ca,CA03019
saratoga_springs_ut,UT02522
sardis_ga,GA01703
savannah_chatham_metro_ga,GA02503
savannah_ga,GA02503
scott_county_mn,MN07000
scottsdale_az,AZ00725
seattle_wa,WASPD00
sebeka_mn,MN08002
shakopee_mn,MN07004
sherburne_county_mn,MN07100
sibley_county_mn,MN07200
smithfield_ut,UT00314
smyrna_ga,GA03304
snellville_ga,GA06708
south_jordan_ut,UT01818
south_ogden_ut,UT02903
south_salt_lake_ut,UT01804
spalding_county_ga,GA12600
springfield_mo,MO03903
st_anthony_mn,MN02720
st_cloud_mn,MN07304
st_george_ut,UT02701
st_james_mn,MN08302
st_louis_county_mn,MN06900
